course_code,course title,description,prerequisites,corequisites,category,components,theme,level,credits,term,calendar_url
BIOL 301,Biomathematics,"Introduction to uses of mathematics in the biological sciences; experimental design and modelling of biological processes. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists. Recommended co-requisites: one of BIOL 300, STAT 200. [3-0-2]",,,Life Sciences Selections,Lecture; Tutorials,Physiology; Human,3,3,Term 2,
BIOL 303,Green Planet: Biology and History of Plants that Changed Civilizations,"Biological, cultural, and societal significance of staple crops selected as foods, medicines or raw materials by different societies, and their pivotal role in the rise and fall of past and present civilizations. [3-0-1] Prerequisite: 3rd-year class standing or higher.",,,Life Sciences Selections,Lecture,Human; Biodiversity,3,3,Term 2,
BIOL 307,Natural History Collections and Biodiversity Science,"An introduction to biodiversity and specimen-based science, including theory and best practices for creating, curating and preserving natural history collections, working ethically with collections, and the historical, contemporary and future role of these collections to science and society. [2-3-0] Pre-requisites: A minimum of 3rd-year class standing or higher.",,,Life Sciences Selections,Lecture; Labs,Genomics; History,3,3,Term 2,
BIOL 310,Introduction to Animal Behaviour,Animal behavior from an ecological and evolutionary perspective; the methods used to study behaviour and test its adaptive significance. [3-0-2] Prerequisite: BIOL_V 121 or SCIE_V 001; and 3rd-year class standing or higher.,,,Life Sciences Selections,Lecture; Labs,Behaviour; Methods,3,3,Term 2,
BIOL 314,Elements of Biodiversity,"The units of biodiversity, from genes to ecosystems, how they are structured in space, and their importance to human well-being and ecosystem health. [3-0-0] Prerequisite: One of APBI 260, BIOL 230, FRST 201, GEOB 207, GEOS 207. Equivalency: CONS 314",BIOL 230,,Life Sciences Selections,Lecture,Invertebrate; Experimental,3,3,Term 2,
BIOL 320,Survey of Algae,"A survey of the algae, considering their morphology, life history, classification, and ecology. [3-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001.",,,Life Sciences Selections,Lecture; Labs,Ecology; Microbial,3,4,Term 2,
BIOL 326,Experimental Biology of Invertebrates,Behaviour and ecology of invertebrates as revealed by hands-on experiments in the laboratory and field. Marine emphasis. [1-4-0] Prerequisite: BIOL 205. Corequisite: Either (a) STAT 200 or (b) BIOL 300.,BIOL 205,BIOL 300,Life Sciences Selections; Lab Selections,Lecture; Labs,Invertebrate; Experimental,3,3,Term 2,
BIOL 328,Ecology and Evolution of Parasites,"Morphology, life histories, ecology and evolution of parasites (and infectious agents more broadly) infecting humans and animals. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001",,,Life Sciences Selections,Lecture; Labs,Ecology; Evolution,3,3,Term 2,
BIOL 331,Developmental Biology,"Animal development and its underlying causal principles; introductory embryology. [3-5-0] Prerequisite: Either (a) BIOL 201 or (b) all of BIOL 200, BIOL 260 and one of BIOL 233, BIOL 234.",BIOL 201; BIOL 200; BIOL 260; BIOL 234,,Life Sciences Selections; Lab Selections,Lecture; Labs,Cell Biology; Development,3,5,Term 2,
BIOL 332,Protistology,"Cell biology, ecology, and evolution of protists; origins of multicellularity; the role of protists in micropaleontology, parasitology, and oceanography. [3-3-0] Prerequisite: BIOL 200",,,Life Sciences Selections,Lecture; Labs,Behaviour; Methods,3,4,Term 2,
BIOL 335,Molecular Genetics,"Isolation and identification of genes, analysis of gene structure; gene expression and its regulation in prokaryotes and in eukaryotes; developmental genetics. [3-0-2] Prerequisite: One of BIOL 233, BIOL 234, MICB 322, FRST 302.",BIOL 234,,Life Sciences Selections,Lecture; Tutorials,Genetics; Ecology,3,3,Term 2,
BIOL 336,Fundamentals of Evolutionary Biology,"Natural selection; population genetics, quantitative genetics and systematics; classical and molecular approaches to the study of evolution. [3-0-2] Prerequisite: One of BIOL 233, BIOL 234.",BIOL 234,,Fundamentals,Lecture; Tutorials,Genetics; Ecology,3,3,Term 2,
BIOL 337,Introductory Genetics Laboratory,"A laboratory course demonstrating the fundamental principles of inheritance: Mendel's Laws, sex-linkage, mapping, mutagenesis, chromosome structure, developmental biology, biochemical and population genetics. [1-4-0] Prerequisite: BIOL 200. Corequisite: One of BIOL 233, BIOL 234.",BIOL 200,BIOL 234,Life Sciences Selections; Lab Selections,Labs,Evolution; Genetics,3,3,Term 2,
BIOL 340,Introductory Cell Biology Laboratory,"Designing and conducting cell biology experiments using unicellular eukaryotes or prokaryotes with emphasis on techniques in microscopy and cell biology. [1-6-0] Prerequisite: BIOL_V 200 and 3rd-year class standing or higher in Science and one of (a) BIOL_V 180 (or BIOL_V 140), or (b) SCIE_V 001, or (c) 3rd-year class standing in Combined Honours Biophysics.",,,Life Sciences Selections; Lab Selections,Lecture; Labs; Tutorials,Cell Biology; Development,3,3,Term 2,
BIOL 345,Human Ecology,"Basics of ecology are introduced, focussing on observations of the natural world. Assignments, including a group project, consider connections between research, awareness and practical uses of ecology. Not for credit in the Life Sciences. [3-0-2]",,,Non-Life Sciences,Lecture,Genetics; Ecology,3,3,Term 2,
BIOL 346,Microbes and Society,An elementary course in molecular biology primarily for Arts students. The historical development of recent discoveries in molecular biology with emphasis on bacteria and viruses and their interaction with humans. (Consult the Credit Exclusion list within the Faculty of Science section of the Calendar.) Not for credit in Life Sciences. [3-0-0],,,Non-Life Sciences,Lecture,Ecology; Microbial,3,3,Term 2,
BIOL 348,Biology of Cannabis,"Biological aspects of cannabis, including structure and function, photosynthesis, plant growth, specialized metabolites, neuroscience and the human endocannabinoid system, and applications for human use in medicine, consumer products and textiles. [3-0-0] Prerequisite: 3rd-year class standing or higher.",,,Life Sciences Selections,Lecture,Ecology; Human,3,3,Term 2,
BIOL 350,Darwinian Medicine,"Using the Darwinian theory of natural selection to explore explanations of infectious diseases, allergies, cancer, mental illness, and other human diseases. Please consult the Faculty of Science Credit Exclusion Lists: www.vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [2-0-2] Prerequisite: Third-year standing. Equivalency: ISCI 350",,,Life Sciences Selections,Lecture,Evolution; Genetics,3,3,Term 2,
BIOL 352,Plant Physiology II: Plant Development,"Introduction to the processes involved in growth and development: cell division, tissue culture, meristems, differentiation, and the action of major growth regulators, and photomorphogenesis. Emphasis on experimental approaches. [2-3-1] Prerequisite: Either (a) BIOL 200 and one of BIOL 233, BIOL 234;  or (b) FRST 302. CHEM 233 is recommended.",BIOL 200; BIOL 234,,Life Sciences Selections; Lab Selections,Lecture; Labs,Physiology; Human,3,3,Term 2,
BIOL 362,Cellular Dynamics,"The cytoskeleton, cell dynamics, and regulation of cellular activities. Preference will be given to Majors or Honours students in Biology and Combined Honours Biophysics. [3-0-0] Prerequisite: BIOL 200 and one of APBI 312, APBI 351, BIOL 260, BIOL 351, BIOL 352, BIOL 361, FRST 311.",BIOL 200; BIOL 260; BIOL 351; BIOL 352,,Life Sciences Selections,Lecture,Evolution; Genetics,3,3,Term 2,
BIOL 363,Laboratory in Animal Physiology,Experimental studies in animal physiology. [1-3-1] Prerequisite: BIOL_V 204 or BIOL_V 260.,,,Life Sciences Selections; Lab Selections,Lecture; Labs,Behaviour; Methods,3,2,Term 2,
BIOL 364,"Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology","Cardiovascular, respiratory, and osmoregulatory physiology. Preference will be given to students who are in Biology, Nutritional Sciences, and Combined Honours Biophysics. [3-0-0] Prerequisite: BIOL 204 and one of BIOL 260, BIOL 361. Equivalency: APBI 311",BIOL 204; BIOL 260,,Life Sciences Selections,Lecture,Ecology; Microbial,3,3,Term 2,
BIOL 371,Principles of Neurobiology I,"Introduction to the structure and function of the nervous system, excitable membranes, and synaptic signaling using representative vertebrate and invertebrate species. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-0] Prerequisite: BIOL 200 and one of BIOL 260, NSCI 200, PSYC 270, PSYC 271, PSYC 304, CAPS 301.",BIOL 200; BIOL 260,,Life Sciences Selections,Lecture,Cell Biology; Development,3,3,Term 2,
BIOL 372,Principles of Neurobiology II,"Examination of the neural systems underlying sensation, action, and complex behaviours using representative vertebrate and invertebrate species. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-0] Prerequisite: BIOL 371.",BIOL 371,,Life Sciences Selections,Lecture,Invertebrate; Experimental,3,3,Term 2,
BIOL 398,Co-operative Work Placement I,"Work experience in an industrial setting, taken during Winter Session (Term 2) of third-year. Restricted to students admitted to the Co-operative Education Program in Biology.",,,Life Sciences Selections,Experiential,Experience Industrial; Education,3,3,Term 2,
BIOL 399,Co-operative Work Placement II,"Work experience in an industrial research setting, taken during Summer Session (Terms 1 and 2) following third-year. Restricted to students admitted to the Co-operative Education Program in Biology. Prerequisite: BIOL_V 398",,,Life Sciences Selections,Experiential,Experience Industrial; Education,3,3,Term 2,
BIOL 403,Microbial Ecology,"Theoretical and applied ecology of microbes. Focus on microbial symbionts of animals, plants and seaweeds. Research project development through critical analysis of microbial ecological literature and computational analysis of ecological data. [2-3-0]  Prerequisite: One of BIOL_V 121, SCIE_V 001, BIOL_V 230 and one of BIOL_V 300, FRST_V 231, STAT_V 200. 4th-year class standing.",,,Life Sciences Selections; Lab Selections,Lecture; Labs,Ecology; Microbial,4,3,Term 2,
BIOL 404,Ecological Methodology,"Design, execution, and analysis of ecological surveys and experiments. Practical field methods for estimating population metrics and describing community structure. Computer techniques for the statistical analysis of ecological data. [2-4-0] Prerequisite: BIOL 230 and one of BIOL 300, STAT 200.",BIOL 230; BIOL 300,,Life Sciences Selections; Lab Selections,Lecture; Labs,Behaviour; Methods,4,3,Term 2,
BIOL 406,Plant Ecology I,"Plant community ecology including a consideration of the major approaches to sampling, analyzing and interpreting vegetation patterns. Instruction given in field work and computer analysis of field data. [3-3-0] Prerequisite: BIOL 230. BIOL 324 is recommended.",BIOL 230,,Life Sciences Selections,Lecture; Labs,Physiology; Research,4,4,Term 2,
BIOL 411,Insect Ecology,"Behavioural, population and community ecology of insects. Interactions between insects and plants and the application of the principles of insect ecology to biological control of insects and weeds. [3-0-0] Prerequisite: One of BIOL 205, BIOL 327, APBI 327. Equivalency: APBI 427",BIOL 205; BIOL 327,,Life Sciences Selections,Lecture,Ecology; Evolution,4,3,Term 2,
BIOL 416,Principles of Conservation Biology,"Ecological basis of conserving biological diversity and ecosystem services; application of ecological theory to global and local conservation problems in the context of economic, legal, political, and social perspectives. Please consult the Faculty of Science Credit Exclusion List: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists. [2-0-2] Prerequisite: One of BIOL 230, FRST 201.",BIOL 230,,Life Sciences Selections,Lecture; Tutorials,Physiology; Research,4,3,Term 2,
BIOL 420,Ocean Conservation and Sustainability,"An interdisciplinary conservation course with a solutions-oriented approach to marine issues, drawing from natural sciences, social sciences, business, law, and communication. [2-0-3]. Prerequisite: Fourth-year standing.",,,Life Sciences Selections,Lecture; Tutorials,Behaviour; Methods,4,3,Term 2,
BIOL 424,Tropical Ecology and Conservation,"Ecology, function, history and conservation of tropical systems. Focus on ecological and evolutionary principles using tropical landscapes as a geographic template. Assessment of factors that make tropical systems vulnerable to degradation. Research project development using analysis of tropical ecology literature. [2-0-2] Prerequisite: BIOL_V 121 or SCIE_V 001 and one of BIOL_V 230, FRST_V 201, GEOS_V 207, GEOB_V 207.",,,Life Sciences Selections,Lecture; Labs,Analysis; Ecology,4,3,Term 2,
BIOL 430,Genome Evolution,"Integration of molecular genetics and genomics with evolutionary biology. Emphasis on the evolutionary dynamics of genomes and the evolutionary implications of recent discoveries in molecular genetics and genomics. [3-0-0] Prerequisite: One of BIOL_V 335, BIOL_V 336, BIOL_V 338, BIOT_V 380.",,,Life Sciences Selections,Lecture,Genomics; History,4,3,Term 2,
BIOL 432,Research Strategies and Techniques in Cell Biology,"Major physiological mechanisms that define eukaryotic cells, explored through student visits to UBC research laboratories and discussion of recent scientific literature, with emphasis on the techniques and strategies that enable researchers to test hypotheses and advance new concepts. [3-0-0] Prerequisite:  BIOL_V 200 and one of BIOL_V 233, BIOL_V 234 and 4th-year class standing.",,,Life Sciences Selections,Lecture,Ecology; Evolution,4,3,Term 2,
BIOL 433,Plant Genetics,Emphasis on molecular aspects. Systems and techniques for genetic analysis in plants; isolation and regulation of plant genes; genetic dissection of plant-specific processes; transposable elements; gene transfer in plants; cytoplasmic inheritance; genetic engineering. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-0] Prerequisite: BIOL 335,,,Life Sciences Selections,Lecture,Analysis; Ecology,4,3,Term 2,
BIOL 434,Population Genetics,"Theoretical and experimental aspects of population and quantitative genetics. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-2] Prerequisite: BIOL 336 and either (a) BIOL 200 and one of BIOL 233, BIOL 234;  or (b) FRST 302.",BIOL 336; BIOL 200; BIOL 234,,Life Sciences Selections,Lecture,Human; Biodiversity,4,3,Term 2,
BIOL 438,Zoological Physics,"Animal systems viewed from a physicist's perspective. Topics include sensory systems, energy budgets, locomotion, internal flows, physical advantages of grouping. [3-0-0] Prerequisite: One of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 157, SCIE 001. BIOL 325 is recommended. Equivalency: PHYS 438",,,Life Sciences Selections,Lecture,Human; Biodiversity,4,3,Term 2,
BIOL 445,Darwin's Fishes,"A series of computer-assisted lectures using ichthyology and the work of Charles Darwin to illustrate basic principles of biology, and their practical implementation, i.e., how biologists select research programs, generate and test hypotheses, and present their case to peers and the public. [2-0-2] Prerequisite: 3rd-year class standing or higher in Science is required.",,,Life Sciences Selections,Lecture; Tutorials,Cell Biology; Development,4,3,Term 2,
BIOL 448,Directed Studies in Biology,A course designed to allow students to undertake an investigation on a specific topic as agreed upon by the faculty member and the student. Permission of the supervisor required. No more than six credits of BIOL_V 448 may be taken with the same supervisor.,,,Life Sciences Selections,Independent Study,Experience Industrial; Education,4,3,Term 2,
BIOL 450,Molecular Adaptation of Animals to the Environment,"Physiological, biochemical, and molecular strategies of adaptation of animals to environmental challenges.  The evolution of genetic and biochemical systems, and their impact on animal structure and function. [3-0-0] Prerequisite: One of APBI 311, BIOL 361, BIOL 362, BIOL 364, BIOL 370, BIOL 371 and one of BIOL 201, BIOC 202, BIOC 203. BIOL 457 is recommended.",BIOL 362; BIOL 364; BIOL 370; BIOL 371; BIOL 201,,Life Sciences Selections,Lecture,Evolution; Genetics,4,3,Term 2,
BIOL 451,Comparative Neurobiology,"Advanced investigations of the evolution of animal nervous systems, integrating studies of diverse species to understand fundamental neurobiology. [3-0-0] Prerequisite: One of BIOL 371, BIOL 372, CAPS 301, PSYC 304, PSYC 367, PSYC 370.",BIOL 371; BIOL 372,,Life Sciences Selections,Lecture,Physiology; Human,4,3,Term 2,
BIOL 453,Insect Physiology,"Physiological adaptations used by insects, including adaptations used to survive in extreme environments. Homeostatic mechanisms, neurophysiology, and experimental techniques. [3-3-0] Prerequisite: One of BIOL_V 204, BIOL_V 205, BIOL_V 327, APBI_V 327 and one of BIOL_V 361, BIOL_V 364, BIOL_V 370, BIOL_V 371, APBI_V 311.",,,Life Sciences Selections,Lecture; Labs,Genetics; Ecology,4,4,Term 2,
BIOL 454,Comparative Animal Physiology,"Selected topics in physiology emphasizing comparisons between diverse phylogenetic groups of animals. [3-0-0] Prerequisite: One of APBI 311, BIOL 362, BIOL 364.",BIOL 362; BIOL 364,,Life Sciences Selections,Lecture,Ecology; Field,4,3,Term 2,
BIOL 458,Developmental Neurobiology,"Cellular, molecular and physiological aspects of nervous system development with applications to understanding adult nervous system function and neurological disorders. [3-0-0]",,,Life Sciences Selections,Lecture,Cell Biology; Development,4,3,Term 2,
BIOL 459,Neurobiology of Sensory and Motor Systems,"Analysis of the mechanisms of sensory processing and motor orchestration using vertebrate and invertebrate model systems.  Neural circuit structure, specialization, information coding, integration, and behaviour. [3-0-0] Prerequisite: One of BIOL 372, CAPS 301, PSYC 304, PSYC 367, PSYC 370.",BIOL 372,,Life Sciences Selections,Lecture,Invertebrate; Experimental,4,3,Term 2,
BIOL 462,Ecological Plant Biochemistry,"The structure, biosynthesis, distribution and biological function of secondary plant metabolites. [3-0-0] Prerequisite: Either a) BIOL_V 200 and one of either BIOL_V 201 or BIOC_V 202, or b) BIOT_V 380. Equivalency: FRST_V 413.",,,Life Sciences Selections,Lecture,Human; Biodiversity,4,3,Term 2,
BIOL 464,Animal Developmental Genetics,Role of genes in embryonic development. Emphasis on tissue specific expression patterns and the role of genetic networks in establishing cell types. [3-0-0] Prerequisite: BIOL 463,,,Life Sciences Selections,Lecture,Cell Biology; Development,4,3,Term 2,
BIOL 488,Topics in Biology,Selected topics in a specific area within Biology. May be taken more than once for credit with permission of the Department. Prerequisite: Third-year standing in a Life Science specialization.,,,Life Sciences Selections,Lecture,Human; Biodiversity,4,3,Term 2,
BIOL 498,Co-operative Work Placement III,"Work experience in an industrial research setting, taken during the Summer Session (Terms 1 and 2) following fourth-year. Restricted to students admitted to the Co-operative Education Program in Biology.",,,Life Sciences Selections,Experiential,Experience Industrial; Education,4,3,Term 2,
BIOL 499,Co-operative Work Placement IV,"Work experience in an industrial research setting, taken during the Winter Session (Terms 1 and 2) following fourth-year. Restricted to students admitted to the Co-operative Education Program in Biology. Prerequisite: One of BIOL_V 399, BIOL_V 498.",,,Life Sciences Selections,Experiential,Experience Industrial; Education,4,3,Term 2,
BIOL 155,Human Biology: Physiology and Introductory Anatomy,"The principles of biology with particular reference to the human body (anatomy and physiology).  (physiology and introductory anatomy). Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-0; 3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.",BIOL 111,,Science Elective,Lecture; Tutorials,Physiology; Human,1,6,Term 1; Term 2,
BIOL 203,Eukaryotic Microbiology,"Introduction to the origin and diversity of protists (protozoa and algae) at both cellular and genomic levels, including the role of endosymbiosis in evolution. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",BIOL 121,,Organismal,Lecture; Labs,Ecology; Human,2,4,Term 1,
BIOL 205,Comparative Invertebrate Zoology,"An introduction to the unity, diversity and evolutionary history of invertebrates. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",BIOL 121,,Organismal,Lecture; Labs,Ecology; Evolution,2,4,Term 1,
BIOL 209,"Biodiversity of Algae, Fungi and Bryophytes","Diversity, ecology, cell biology and evolutionary origins of multicellular eukaryotes, illustrated through mosses and liverworts; fungi and slime molds; and fresh water and marine algae. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",BIOL 121,,Organismal,Lecture; Labs,Ecology; Evolution,2,4,Term 1,
BIOL 302,"Biodiversity, Human & Planetary Health","Effects of biodiversity on human health, from human microbiome to ecosystem. Strategies for protecting, restoring and managing for biodiversity, human and planetary health. [3-0-1]  Prerequisite: One of BIOL 111, BIOL 121, GEOS 207, SCIE 001 and third-year class standing.",BIOL 111; BIOL 121,,Life Sciences Selections,Lecture; Tutorials,Human; Biodiversity,3,3,Term 1,
BIOL 306,Advanced Ecology,"Ecology of populations, communities and ecosystems. Tests of ecological theory with experiments and application to environmental issues. Labs meet once a month. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists. [3-3*-0] Prerequisite: BIOL 230.",BIOL 230,,Life Sciences Selections; Lab Selections,Lecture; Labs,Ecology; Human,3,3,Term 1,
BIOL 311,Experimental Methods in Animal Behaviour,"Designing, conducting, and analyzing studies of animal behaviour, with an emphasis on field-based methods. Students conduct capstone research projects. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists. [1-4-0] Prerequisite: One of BIOL 300, STAT 200. Corequisite: BIOL 310.",BIOL 300,BIOL 310,Life Sciences Selections; Lab Selections,Lecture; Labs,Behaviour; Methods,3,3,Term 1,
BIOL 323,Structure and Reproduction of Fungi,The evolutionary diversity of the fungi as shown by their morphology and reproductive biology. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001.,,,Life Sciences Selections,Lecture; Labs; Tutorials,Physiology; Human,3,3,Term 1,
BIOL 324,Introduction to Seed Plant Taxonomy,Introduction to seed plant taxonomy emphasizing descriptive morphology and identification. Each student will be required to submit a plant collection. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001.  Equivalency: APBI_V 324,,,Life Sciences Selections,Lecture; Labs,Genomics; History,3,3,Term 1,
BIOL 325,Introduction to Animal Mechanics and Locomotion,"Comparative aspects of the functional design of skeletal systems and the mechanics of swimming, flying and terrestrial locomotion, with particular reference to the vertebrates. [3-0-0] Prerequisite: BIOL_V 121 or SCIE_V 001.",,,Life Sciences Selections,Lecture,Analysis; Ecology,3,3,Term 1,
BIOL 327,Introduction to Entomology,"A survey of the structure, classification and biology of insects; ecology, life-histories and insect-plant relations. Prerequisite: BIOL_V 121 or SCIE_V 001. Equivalency: APBI_V 327",,,Life Sciences Selections,Lecture; Labs,Ecology; Human,3,3,Term 1,
BIOL 329,"Cell Receptor Signaling, Communication and Regulation","How cells react to external signals, and how these responses are regulated. Experimental approaches and common themes will be examined using a variety of cell receptors as models. [3-0-0]. Prerequisite: BIOL_V 200.",,,Life Sciences Selections,Lecture,Evolution; Genetics,3,3,Term 1,
BIOL 338,Introduction to Genomics,"An introduction to genome biology and applications of genomics. [3-0-1.5] Prerequisite: One of BIOL 234, BIOL 233, FRST 302.",BIOL 234,,Life Sciences Selections,Lecture; Tutorials,Human; Biodiversity,3,4,Term 1,
BIOL 341,Introductory Molecular Biology Laboratory,Designing and conducting molecular biology experiments using bioinformatics recombinant DNA techniques. [1-5-0] Prerequisite: BIOL_V 200 and 3rd-year class standing or higher in Science.,,,Life Sciences Selections; Lab Selections,Lecture; Labs; Tutorials,Evolution; Genetics,3,3,Term 1,
